Benchmark,Scale/MOP,Method,N,Full success,Public feasible,Domain quality,Ref gap score,Solver timeout,Solver time
swta,MOP3_NT100_NS10_NC9_NV10_NW9_O2,WTA-MAFA v0.4,2,1,1,0.7360746669205,NA,0,0.188
swta,MOP3_NT100_NS10_NC9_NV10_NW9_O3,WTA-MAFA v0.4,2,1,1,0.7360746669205,NA,0,0.155
swta,MOP3_NT100_NS10_NC9_NV10_NW9_O4,WTA-MAFA v0.4,2,1,1,0.7360746669205,NA,0,0.163
swta,MOP3_NT100_NS6_NC6_NV6_NW6_O2,WTA-MAFA v0.4,2,1,1,0.7156803985394999,NA,0,0.059
swta,MOP3_NT100_NS6_NC6_NV6_NW6_O3,WTA-MAFA v0.4,2,1,1,0.7156803985394999,NA,0,0.043
swta,MOP3_NT100_NS6_NC6_NV6_NW6_O4,WTA-MAFA v0.4,2,1,1,0.7156803985394999,NA,0,0.046
swta,MOP3_NT200_NS12_NC6_NV12_NW6_O2,WTA-MAFA v0.4,2,1,1,0.7173458796345,NA,0,0.624
swta,MOP3_NT200_NS12_NC6_NV12_NW6_O3,WTA-MAFA v0.4,2,1,1,0.7173458796345,NA,0,0.594
swta,MOP3_NT200_NS12_NC6_NV12_NW6_O4,WTA-MAFA v0.4,2,1,1,0.7173458796345,NA,0,0.605
swta,MOP3_NT200_NS15_NC12_NV15_NW12_O2,WTA-MAFA v0.4,2,1,1,0.7210245273865,NA,0,0.756
swta,MOP3_NT200_NS15_NC12_NV15_NW12_O3,WTA-MAFA v0.4,2,1,1,0.7210245273865,NA,0,2.366
swta,MOP3_NT200_NS15_NC12_NV15_NW12_O4,WTA-MAFA v0.4,2,1,1,0.7210245273865,NA,0,0.791
swta,MOP3_NT50_NS5_NC2_NV5_NW2_O2,WTA-MAFA v0.4,2,1,1,0.756855915363,NA,0,0.029
swta,MOP3_NT50_NS5_NC2_NV5_NW2_O3,WTA-MAFA v0.4,2,1,1,0.756855915363,NA,0,0.098
swta,MOP3_NT50_NS5_NC2_NV5_NW2_O4,WTA-MAFA v0.4,2,1,1,0.756855915363,NA,0,0.087
